Date,PercUsed
2/28/18,0.25
3/7/18,0.25
3/8/18,0.25
3/10/18,0.857142857
3/15/18,0.5
3/16/18,0.5
3/23/18,0.5
3/26/18,0.5
4/1/18,0.857142857
4/3/18,1
4/4/18,0.5
4/6/18,1
4/7/18,0.857142857
4/8/18,0.857142857
4/9/18,0.75
4/10/18,0.5
4/11/18,1
4/12/18,1
4/13/18,0.5
4/14/18,0.857142857
4/15/18,1
4/16/18,1
4/17/18,1
4/18/18,0.5
4/19/18,0.25
4/21/18,0.428571429
4/23/18,0.25
4/24/18,1
4/26/18,0.5
4/27/18,1
4/28/18,0.857142857
4/29/18,1
4/30/18,0.5
5/3/18,0.375
5/4/18,0.25
5/5/18,0.857142857
5/6/18,0.857142857
5/7/18,1
5/8/18,1
5/9/18,1
5/10/18,0.75
5/14/18,0.375
5/15/18,1
5/16/18,1
5/17/18,0.875
5/18/18,1
5/19/18,0.857142857
5/20/18,0.857142857
5/21/18,0.5
5/22/18,0.5
5/23/18,0.5
5/24/18,1
5/26/18,1
5/27/18,0.857142857
5/28/18,1
5/29/18,0.5
5/31/18,0.75
6/1/18,0.5
6/2/18,0.857142857
6/4/18,0.25
6/5/18,0.25
6/6/18,1
6/7/18,0.875
6/8/18,1
6/10/18,0.857142857
6/11/18,0.375
6/12/18,1
6/13/18,1
6/14/18,0.375
6/16/18,0.857142857
6/17/18,0.857142857
6/18/18,0.75
6/19/18,1
6/20/18,0.25
6/21/18,0.142857143
6/22/18,0.214285714
6/27/18,0.428571429
6/28/18,0.214285714
6/29/18,0.857142857
6/30/18,0.428571429
7/1/18,1
7/4/18,0.142857143
7/8/18,0.857142857
7/9/18,0.857142857
7/10/18,0.857142857
7/11/18,1
7/12/18,0.857142857
7/13/18,0.857142857
7/15/18,0.571428571
7/16/18,0.214285714
7/18/18,0.857142857
7/19/18,1
7/21/18,0.428571429
7/22/18,0.285714286
7/26/18,0.5
7/27/18,1
7/28/18,0.857142857
7/29/18,0.857142857
7/30/18,1
8/1/18,0.214285714
8/7/18,1
8/8/18,0.5
8/10/18,0.857142857
8/11/18,1
8/14/18,0.857142857
8/16/18,0.142857143
8/18/18,0.857142857
8/19/18,0.857142857
8/23/18,1
8/24/18,1
8/26/18,0.285714286
8/27/18,1
8/29/18,0.571428571
8/31/18,0.857142857
9/2/18,0.642857143
9/5/18,0.285714286
9/6/18,0.75
9/7/18,0.5
9/8/18,1
9/9/18,0.571428571
9/10/18,0.5
9/11/18,0.5
9/12/18,0.375
9/13/18,0.5
9/14/18,1
9/15/18,0.857142857
9/18/18,0.75
9/19/18,0.75
9/20/18,0.5
9/23/18,0.857142857
9/25/18,0.5
9/28/18,1
9/29/18,0.428571429
9/30/18,0.571428571
10/1/18,0.25
10/3/18,0.5
10/4/18,1
10/5/18,1
10/9/18,1
10/10/18,0.75
10/11/18,1
10/13/18,0.285714286
10/14/18,0.571428571
10/15/18,0.5
10/16/18,1
10/18/18,0.875
10/19/18,0.5
10/20/18,1
10/22/18,0.25
10/23/18,0.25
10/24/18,0.75
10/25/18,0.75
10/26/18,0.5
10/28/18,0.642857143
10/29/18,0.875
10/30/18,0.5
11/1/18,0.5
11/2/18,0.75
11/3/18,1
11/5/18,0.375
11/6/18,0.5
11/8/18,0.5
11/9/18,0.5
11/12/18,0.5
11/14/18,0.5
11/15/18,0.5
11/18/18,0.428571429
11/19/18,0.5
11/20/18,0.5
12/9/18,0.428571429
3/18/19,0.25
3/24/19,0.857142857
3/25/19,0.5
3/26/19,0.75
3/27/19,0.25
3/28/19,0.25
3/29/19,0.5
3/30/19,0.857142857
4/3/19,0.5
4/4/19,0.5
4/5/19,0.25
4/6/19,0.857142857
4/7/19,0.857142857
4/8/19,1
4/11/19,1
4/12/19,0.5
4/13/19,0.857142857
4/15/19,0.75
4/16/19,0.75
4/17/19,0.25
4/18/19,0.5
4/20/19,0.857142857
4/25/19,0.25
4/26/19,1
4/27/19,0.857142857
4/29/19,0.5
4/30/19,0.25
5/1/19,1
5/2/19,0.75
5/3/19,0.625
5/4/19,0.857142857
5/5/19,0.642857143
5/6/19,0.75
5/7/19,0.5
5/8/19,1
5/9/19,1
5/10/19,0.75
5/13/19,0.375
5/15/19,1
5/16/19,0.25
5/17/19,0.25
5/18/19,1
5/20/19,0.5
5/23/19,0.375
5/27/19,1
5/28/19,1
5/29/19,0.625
5/30/19,0.75
5/31/19,0.75
6/1/19,1
6/3/19,1
6/4/19,1
6/5/19,0.25
6/6/19,1
6/7/19,0.25
6/10/19,0.5
6/11/19,1
6/12/19,0.25
6/14/19,1
6/15/19,1
6/17/19,0.875
6/18/19,0.5
6/19/19,0.428571429
6/20/19,0.25
6/21/19,0.214285714
6/22/19,0.214285714
6/24/19,0.142857143
6/26/19,1
6/27/19,1
6/28/19,0.142857143
6/29/19,1
7/1/19,0.214285714
7/2/19,0.857142857
7/4/19,0.375
7/5/19,0.142857143
7/8/19,0.5
7/9/19,0.857142857
7/10/19,0.714285714
7/11/19,0.25
7/13/19,1
7/14/19,0.571428571
7/15/19,0.142857143
7/16/19,0.857142857
7/18/19,0.25
7/22/19,0.357142857
7/24/19,0.357142857
7/25/19,1
7/26/19,1
7/31/19,0.142857143
8/3/19,1
8/5/19,0.142857143
8/7/19,0.214285714
8/8/19,0.25
8/11/19,0.214285714
8/12/19,0.357142857
8/14/19,0.285714286
8/15/19,0.25
8/16/19,0.142857143
8/19/19,0.285714286
8/22/19,0.75
8/23/19,0.571428571
8/24/19,1
8/27/19,0.285714286
8/28/19,0.357142857
8/29/19,0.625
8/30/19,0.142857143
8/31/19,0.857142857
9/4/19,0.142857143
9/6/19,0.5
9/8/19,1
9/9/19,0.25
9/11/19,0.5
9/13/19,0.75
9/14/19,0.857142857
9/18/19,0.25
9/19/19,0.25
9/21/19,0.857142857
9/22/19,1
9/24/19,1
9/27/19,0.875
10/2/19,0.375
10/3/19,0.5
10/4/19,0.75
10/5/19,0.857142857
10/6/19,1
10/7/19,0.25
10/10/19,0.25
10/11/19,0.5
10/12/19,0.857142857
10/14/19,0.5
10/15/19,0.5
10/17/19,0.5
10/19/19,1
10/20/19,0.642857143
10/22/19,0.5
10/23/19,0.75
10/25/19,0.25
10/26/19,0.857142857
10/27/19,0.642857143
10/29/19,0.5
10/31/19,1
11/3/19,0.857142857
11/7/19,0.375
11/9/19,0.857142857
11/10/19,0.857142857
11/11/19,0.5
11/13/19,0.375
11/15/19,0.25
11/21/19,0.5
11/23/19,0.857142857
12/15/19,0.357142857
12/22/19,0.357142857
2/13/21,0.214285714
3/2/21,0.5
3/9/21,0.25
3/11/21,0.5
3/15/21,0.5
3/16/21,0.25
3/18/21,0.25
3/23/21,0.5
3/28/21,0.785714286
4/1/21,1
4/2/21,0.5
4/5/21,1
4/6/21,1
4/7/21,1
4/8/21,0.75
4/9/21,0.75
4/10/21,0.785714286
4/13/21,0.5
4/17/21,1
4/19/21,1
4/20/21,1
4/22/21,1
4/23/21,0.5
4/24/21,1
4/25/21,0.785714286
4/26/21,1
4/27/21,1
4/28/21,0.625
4/29/21,0.5
4/30/21,1
5/2/21,0.857142857
5/3/21,0.5
5/6/21,0.75
5/7/21,0.5
5/8/21,0.571428571
5/11/21,0.375
5/12/21,1
5/13/21,0.875
5/15/21,0.071428571
5/17/21,0.75
5/18/21,0.5
5/19/21,1
5/21/21,0.875
5/23/21,0.785714286
5/24/21,0.25
5/26/21,1
5/27/21,0.75
5/31/21,0.5
6/1/21,0.5
6/4/21,0.5
6/5/21,1
6/7/21,0.5
6/9/21,1
6/10/21,0.875
6/11/21,0.375
6/12/21,0.571428571
6/13/21,0.785714286
6/16/21,0.25
6/17/21,1
6/20/21,0.857142857
6/21/21,1
6/22/21,0.285714286
6/23/21,0.571428571
6/24/21,0.428571429
6/25/21,1
6/27/21,0.857142857
6/28/21,1
6/30/21,0.642857143
7/2/21,1
7/3/21,1
7/5/21,0.642857143
7/6/21,1
7/7/21,0.785714286
7/11/21,1
7/14/21,0.642857143
7/15/21,1
7/17/21,1
7/19/21,1
7/23/21,1
7/24/21,0.785714286
7/25/21,1
7/27/21,1
7/28/21,0.142857143
7/29/21,1
7/31/21,0.142857143
8/1/21,0.214285714
8/3/21,0.285714286
8/4/21,1
8/5/21,0.642857143
8/7/21,1
8/8/21,0.785714286
8/9/21,1
8/10/21,0.285714286
8/11/21,0.142857143
8/12/21,0.142857143
8/13/21,1
8/15/21,0.571428571
8/16/21,1
8/18/21,0.285714286
8/21/21,1
8/22/21,0.857142857
8/24/21,0.357142857
8/25/21,1
8/26/21,1
8/29/21,1
8/30/21,1
9/1/21,0.142857143
9/3/21,0.214285714
9/5/21,0.428571429
9/6/21,0.357142857
9/7/21,0.357142857
9/8/21,0.142857143
9/9/21,0.25
9/12/21,0.428571429
9/14/21,1
9/16/21,1
9/17/21,0.25
9/19/21,0.785714286
9/20/21,0.5
9/21/21,0.375
9/24/21,1
9/25/21,0.857142857
9/26/21,1
9/29/21,0.375
9/30/21,1
10/1/21,0.875
10/2/21,0.857142857
10/3/21,1
10/5/21,0.875
10/7/21,1
10/11/21,0.5
10/12/21,0.625
10/15/21,0.25
10/17/21,1
10/18/21,1
10/21/21,0.25
10/22/21,0.375
10/24/21,0.857142857
10/25/21,0.25
10/26/21,0.875
10/27/21,0.25
10/28/21,0.75
10/29/21,0.25
10/30/21,0.571428571
10/31/21,0.857142857
11/3/21,0.5
11/4/21,0.25
11/7/21,0.785714286
11/8/21,0.75
11/10/21,0.75
11/13/21,0.785714286
11/16/21,0.375
11/19/21,0.25
11/21/21,0.857142857
12/26/21,0.428571429
1/2/22,0.428571429
2/6/22,0.714285714
3/5/22,0.357142857
3/13/22,0.857142857
3/14/22,0.5
3/15/22,0.75
3/20/22,0.357142857
3/24/22,0.5
3/25/22,0.5
3/26/22,0.857142857
3/27/22,0.714285714
3/28/22,0.5
3/29/22,0.5
3/30/22,1
3/31/22,0.5
4/1/22,0.5
4/2/22,1
4/3/22,0.142857143
4/4/22,1
4/5/22,0.5
4/6/22,1
4/7/22,0.5
4/8/22,0.5
4/9/22,0.857142857
4/10/22,1
4/11/22,1
4/12/22,0.5
4/13/22,0.5
4/14/22,1
4/15/22,1
4/16/22,0.5
4/17/22,0.857142857
4/18/22,1
4/19/22,1
4/20/22,0.5
4/21/22,1
4/22/22,0.5
4/23/22,1
4/24/22,1
4/25/22,1
4/27/22,1
4/28/22,0.875
4/29/22,1
4/30/22,0.928571429
5/1/22,0.428571429
5/2/22,1
5/3/22,0.25
5/4/22,1
5/5/22,1
5/6/22,1
5/7/22,0.357142857
5/8/22,0.071428571
5/10/22,0.375
5/11/22,1
5/12/22,1
5/13/22,0.5
5/14/22,1
5/15/22,1
5/18/22,1
5/19/22,0.5
5/21/22,1
5/22/22,0.857142857
5/23/22,1
5/24/22,1
5/25/22,1
5/26/22,1
5/27/22,0.5
5/29/22,0.928571429
5/30/22,0.5
5/31/22,0.75
6/1/22,1
6/2/22,1
6/3/22,0.5
6/5/22,0.5
6/6/22,0.5
6/8/22,1
6/9/22,1
6/10/22,1
6/11/22,0.714285714
6/12/22,0.071428571
6/13/22,0.5
6/15/22,1
6/16/22,0.75
6/17/22,0.5
6/18/22,0.5
6/19/22,1
6/21/22,1
6/22/22,0.875
6/23/22,0.142857143
6/24/22,0.571428571
6/26/22,1
6/27/22,0.357142857
6/28/22,0.571428571
6/29/22,1
7/5/22,0.5
7/6/22,1
7/7/22,0.5
7/8/22,0.857142857
7/9/22,1
7/12/22,0.214285714
7/14/22,0.857142857
7/17/22,0.857142857
7/18/22,1
7/19/22,1
7/20/22,0.5
7/24/22,0.857142857
7/26/22,1
7/28/22,0.5
7/29/22,1
7/30/22,1
8/1/22,0.357142857
8/2/22,0.428571429
8/3/22,0.642857143
8/4/22,1
8/9/22,0.5
8/10/22,0.5
8/12/22,0.357142857
8/14/22,0.571428571
8/16/22,0.357142857
8/17/22,1
8/20/22,0.857142857
8/21/22,1
8/22/22,0.142857143
8/23/22,0.357142857
8/24/22,0.357142857
8/25/22,0.357142857
8/27/22,1
8/29/22,0.642857143
8/31/22,0.357142857
9/1/22,0.357142857
9/3/22,0.857142857
9/7/22,0.214285714
9/8/22,1
9/9/22,1
9/11/22,1
9/12/22,0.5
9/13/22,0.375
9/14/22,0.625
9/15/22,0.375
9/16/22,0.625
9/17/22,1
9/25/22,1
9/27/22,1
9/28/22,0.5
9/29/22,0.75
10/1/22,1
10/5/22,0.625
10/6/22,0.375
10/8/22,0.785714286
10/10/22,1
10/11/22,0.5
10/13/22,0.625
10/15/22,0.857142857
10/16/22,1
10/17/22,0.5
10/18/22,0.375
10/19/22,0.5
10/20/22,0.75
10/21/22,1
10/27/22,0.375
11/1/22,0.875
11/5/22,0.857142857
11/6/22,0.857142857
11/8/22,0.5
11/9/22,0.875
11/12/22,0.857142857
11/13/22,0.857142857
11/14/22,0.5
11/17/22,0.375